"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description",
0,"Ausis"," (4","180)",4," Blue Slimy Lobsters"," Multi-Government"," The world Ausis is scourged by deadly tree ants. ","#VALUE!"
1,"Andiri"," (53","157)",6," Human Colonials"," Democracy"," Andiri is ravaged by unpredictable solar activity. ",
2,"Beedbeon"," (199","254)",8," Human Colonials"," Corporate State"," The planet Beedbeon is most famous for its vast oceans. ",
3,"Maisso"," (159","179)",10," Human Colonials"," Confederacy"," The planet Maisso is a boring planet. ",
4,"Ladibe"," (240","71)",0," Human Colonials"," Anarchy"," Ladibe is mildly notable for its inhabitants' unusual silliness. ",
5,"Veriar"," (53","147)",5," Human Colonials"," Anarchy"," The world Veriar is very famous for Veriarian shrew steak but ravaged by dreadful civil war. ",
6,"Esbete"," (159","106)",11," Human Colonials"," Confederacy"," This planet is notable for its unusual oceans and its inhabitants' exceptional loathing of food blenders. ",
7,"Esrilees"," (217","188)",8," Human Colonials"," Corporate State"," The world Esrilees is notable for its unusual tropical forests and its fabulous Esrileesian lethal water. ",
8,"Esrasoce"," (169","193)",10," Small Harmless Slimy Frogs"," Democracy"," The planet Esrasoce is a boring world. ",
9,"Lerela"," (37","103)",2," Human Colonials"," Multi-Government"," This planet is a tedious little planet. ",
10,"Eszara"," (197","245)",5," Small Slimy Frogs"," Dictatorship"," This planet is beset by a lethal disease. ",
11,"Anenat"," (226","84)",4," Frogs"," Feudal"," This planet is mildly fabled for the Anenatian mountain poet but scourged by frequent civil war. ",
12,"Zalaqura"," (192","209)",8," Human Colonials"," Communist"," The planet Zalaqura is most famous for the Zalaquraian spotted wolf. ",
13,"Cerare"," (116","154)",7," Human Colonials"," Communist"," This planet is fabled for its ancient Cerareian Lonuce tulip plantations. ",
14,"Inzaquma"," (169","14)",3," Green Insects"," Feudal"," This planet is very well known for its inhabitants' unusual mating traditions and its exotic night life. ",
15,"Aratusza"," (75","122)",10," Small Black Bug-Eyed Lobsters"," Dictatorship"," This world is fabled for its ancient mountains. ",
16,"Isarin"," (4","40)",8," Blue Fat Humanoids"," Multi-Government"," The world Isarin is beset by a lethal disease. ",
17,"Esesbi"," (83","44)",9," Small Red Rodents"," Democracy"," The world Esesbi is a boring planet. ",
18,"Armaaza"," (249","38)",6," Human Colonials"," Corporate State"," This planet is most notable for Armaazaian lethal water but plagued by occasional solar activity. ",
19,"Rienla"," (100","175)",3," Bony Humanoids"," Confederacy"," The planet Rienla is very noted for its ancient mountains but plagued by a lethal disease. ",
20,"Diuste"," (134","117)",2," Human Colonials"," Anarchy"," The world Diuste is reasonably famous for its inhabitants' exceptional loathing of sit coms. ",
21,"Vezadi"," (178","156)",3," Yellow Rodents"," Anarchy"," Vezadi is reasonably well known for the Vezadiian tree ant but cursed by killer edible Aroids. ",
22,"Quaen"," (168","173)",5," Human Colonials"," Confederacy"," This planet is notable for its unusual oceans and its inhabitants' eccentric love for tourists. ",
23,"Ridiusla"," (60","242)",9," Blue Rodents"," Corporate State"," This planet is a tedious little planet. ",
24,"Maesaron"," (149","104)",11," Small Harmless Furry Rodents"," Democracy"," The planet Maesaron is a n unremarkable dump. ",
25,"Berien"," (63","234)",9," Furry Rodents"," Multi-Government"," Berien is mildly famous for its pink oceans and its unusual casinos. ",
26,"Ramaza"," (228","18)",7," Felines"," Dictatorship"," This world is most notable for its exotic night life but ravaged by frequent earthquakes. ",
27,"Beanen"," (164","196)",2," Human Colonials"," Feudal"," This world is most fabled for Beanenian lethal brandy but scourged by deadly tree ants. ",
28,"Ercetidi"," (193","178)",8," Human Colonials"," Communist"," This world is reasonably notable for its weird tropical forests but scourged by dreadful solar activity. ",
29,"Esrece"," (109","151)",3," Small Harmless Horned Lobsters"," Communist"," Esrece is cursed by dreadful civil war. ",
30,"Atrazama"," (29","197)",2," Black Slimy Frogs"," Feudal"," This planet is a dull world. ",
31,"Zaragete"," (43","36)",8," Human Colonials"," Dictatorship"," This world is very fabled for its unusual oceans. ",
32,"Bebege"," (220","3)",5," Lizards"," Multi-Government"," This world is most fabled for Zero-G hockey but ravaged by occasional earthquakes. ",
33,"Diti"," (105","163)",8," Human Colonials"," Democracy"," The planet Diti is famous for Ditiian shrew steak but ravaged by unpredictable civil war. ",
34,"Escebele"," (4","55)",4," Human Colonials"," Corporate State"," Escebele is mildly well known for its hoopy casinos. ",
35,"Qurear"," (33","147)",8," Human Colonials"," Confederacy"," The planet Qurear is reasonably noted for its inhabitants' eccentric shyness and mud tennis. ",
36,"Dimadi"," (243","10)",8," Human Colonials"," Anarchy"," This planet is most fabled for Zero-G cricket but cursed by unpredictable solar activity. ",
37,"Onenti"," (38","141)",2," Human Colonials"," Anarchy"," This planet is most notable for Onentiian Cea'allo water but beset by a evil disease. ",
38,"Beraer"," (137","215)",4," Human Colonials"," Confederacy"," Beraer is reasonably well known for its great dense forests but beset by deadly tree grubs. ",
39,"Tezaeded"," (151","16)",14," Human Colonials"," Corporate State"," The planet Tezaeded is famous for its exotic fish cutlet but beset by evil spotted cats. ",
40,"Labilaen"," (88","120)",10," Green Slimy Frogs"," Democracy"," The world Labilaen is mildly noted for its ancient mountains but ravaged by unpredictable solar activity. ",
41,"Reveve"," (82","85)",5," Human Colonials"," Multi-Government"," This world is very notable for the Reveveian tree grub. ",
42,"Soorte"," (219","22)",6," Fierce Red Furry Rodents"," Dictatorship"," Soorte is a revolting little planet. ",
