"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description"
0,"Anleis"," (32","165)",0," Human Colonials"," Anarchy"," This planet is mildly fabled for its inhabitants' eccentric love for tourists but plagued by a lethal disease. "
1,"Edre"," (153","221)",6," Human Colonials"," Confederacy"," The planet Edre is a boring planet. "
2,"Tionis"," (103","128)",11," Human Colonials"," Multi-Government"," The world Tionis is a boring world. "
3,"Erxesoan"," (147","125)",9," Green Felines"," Corporate State"," This planet is fabled for its fabulous Sebese juice and its ancient mountains. "
4,"Ceuses"," (251","199)",4," Fierce Fat Humanoids"," Feudal"," This world is a tedious little planet. "
5,"Esmain"," (23","137)",7," Small Yellow Insects"," Anarchy"," The planet Esmain is scourged by killer edible arts graduates. "
6,"Orusge"," (129","76)",8," Harmless Furry Felines"," Corporate State"," The planet Orusge is famous for Orusgeian shrew steak but ravaged by unpredictable solar activity. "
7,"Ereddive"," (4","195)",7," Human Colonials"," Democracy"," The planet Ereddive is reasonably fabled for Zero-G cricket and vicious Soa'xenu gargle blasters. "
8,"Isxevela"," (214","109)",5," Human Colonials"," Multi-Government"," The planet Isxevela is mildly notable for its inhabitants' weird shyness. "
9,"Dioris"," (213","214)",4," Yellow Bony Birds"," Dictatorship"," Dioris is a n unremarkable planet. "
10,"Anisis"," (100","29)",4," Human Colonials"," Communist"," This world is very notable for its inhabitants' unusual silliness and its exotic cuisine. "
11,"Axeus"," (85","221)",6," Red Slimy Lobsters"," Confederacy"," The world Axeus is a boring world. "
12,"Biesmaan"," (123","232)",12," Human Colonials"," Dictatorship"," The planet Biesmaan is famous for its exotic goat soup but cursed by a killer disease. "
13,"Ervele"," (91","107)",10," Human Colonials"," Democracy"," The planet Ervele is famous for its inhabitants' ancient loathing of casinos but ravaged by unpredictable civil war. "
14,"Arbe"," (168","1)",5," Human Colonials"," Feudal"," Arbe is reasonably well known for its great dense forests but scourged by deadly edible moths. "
15,"Andiso"," (126","19)",8," Black Furry Rodents"," Communist"," Andiso is cursed by killer mountain goats. "
16,"Zaaner"," (16","71)",2," Human Colonials"," Communist"," The world Zaaner is mildly noted for its pink Zaanerian Alusabus plant plantations but beset by frequent civil war. "
