"Answer Text","Vote Count"
"Vim (or vi or gvim)","1097"
"Emacs (or xemacs, with or without extensions)","430"
"Ultra Edit (plain or Studio)","224"
"Eclipse   EPIC","210"
"Other answer...","143"
"Notepad  ","142"
"Komodo IDE","128"
"Komodo Edit","105"
"TextMate","105"
"Padre","101"
"Kate","56"
"Gedit","55"
"TextPad","49"
"nano","40"
"SciTE","38"
"Geany","36"
"NEdit","27"
"EditPlus","26"
"mcedit","26"
"BBEdit","25"
"JEdit","23"
"Joe","20"
"Smultron","16"
"TextWrangler","14"
"PSPad","12"
"Notepad2","12"
"Open Perl IDE","10"
"OptiPerl","9"
"Pico","7"
"Kephra","6"
"Jed","6"
"KDevelop","6"
"SlickEdit","6"
"Notepad","5"
"Crimson","4"
"EngInSite-Perl","3"
"Anjuta","3"
"KEdit","3"
"DzSoft Perl","2"
"Perl Express","2"
"Far","1"
"PerlWiz","1"
"visiPerl ","0"
"Perl Builder","0"
"Prof. Notepad","0"
"Perl Code Editor","0"
"Editeur","0"
"PerlEdit","0"
"ED for Windows","0"
"Perl Scripting Tool","0"
"Perl Studio","0"
"FTE","0"
